checkpoint_uuid,solving_run_id,solution_index,grid_map_id,algorithm_id,interval_size,step,path_len,dir_count,path,visited_dirs,exit_situation,one_way_list,round_counter,round_counter_overlong,total_solved,total_solved_overlong,total_back_steps,dummy_back_steps,locked_back_lose,created_at,checkpoint_no
b30c7a09-8910-485d-bea8-17e4a9b3754b,9ac44ac0-c7f6-4b33-a402-c9e92e17392b,1000000,4,2,1000000,64,64,9,\x0003061e363330180a0d1b090c0f273f3c39212432351d2f3d3a2810223437251705021411292c1a080b0e263e3b38202331191c2a12152d1f0704162e2b1301,\x00020420400002042080022000112000010210200009802000100108208008226040001080404030008140001020020420400002042001100019b220480002808040904000021010,1,\x0000000a0000002700000001ffffffff000000002c00000001ffffffff000000003100000001ffffffff000000003700000001ffffffff000000003800000001ffffffff000000003900000001ffffffff000000003b00000001ffffffff010000003c0000000100000008000000003d0000000100000008000000003e000000010000000800,177278897,0,1000000,0,88639417,16097841,t,2026-09-24 14:27:10.75768+00,1
a12fac82-5653-4cd7-806a-636d6d35bab3,9ac44ac0-c7f6-4b33-a402-c9e92e17392b,21000000,4,2,1000000,64,64,9,\x0003061e363330180a0d1b090c0f273f3c39212432351d2f2c3e3b382a2d1f37251705021a08201215070401190b0e1c2e16132b3d3a28102214263431231129,\x00020420400002042080022000112000010210200009802000100158044080012c003002300881804000040140010041906080500004028040202000020820020409400001100802,1,\x0000000a0000001b00000001ffffffff0100000029000000010000000800000000310000000100000008000000003400000001000000080000000036000000010000000800000000370000000100000008000000003b0000000100000008000000003c0000000100000008000000003d0000000100000008000000003e000000010000000800,4184354821,0,21000000,0,2092177379,381539538,t,2026-09-24 14:56:48.454695+00,21
6722601f-bac5-46f8-89ce-99c4f129fcf7,9ac44ac0-c7f6-4b33-a402-c9e92e17392b,2000000,4,2,1000000,64,64,9,\x0003061e363330180a0d1b090c0f273f3c39212432351d2f3d3a2225371f07151220382a2d3b2911233134263e2c140210281a080b0e1c192b2e160401130517,\x0002042040000204208002200011200001021020000980200010010820800920000a10041418100014004108200210040044000490100d0800021120000209020200010141002001,1,\x0000000b0000002400000001ffffffff000000002c00000001ffffffff000000002f00000001ffffffff01000000320000000100000008000000003300000001000000080000000035000000010000000800000000390000000100000008000000003b0000000100000008000000003c0000000100000008000000003d0000000100000008000000003e000000010000000800,389414263,0,2000000,0,194707100,36233591,t,2026-09-24 14:28:40.922778+00,2
1ffea1e2-2032-42eb-aaea-6e92e22402db,9ac44ac0-c7f6-4b33-a402-c9e92e17392b,3000000,4,2,1000000,64,64,9,\x0003061e363330180a0d1b090c0f273f3c39212432351d2f3d3a2210020513251714262331190104162e2b281a080b0e1c34371f07151220382a2d3b3e2c2911,\x000204204000020420800220001120000102102000098020001001082080094128808201802058e08222089000020840800048448000080804000204010504040005401000040420,1,\x000000110000002000000001ffffffff000000002400000001ffffffff0100000026000000010000000800000000280000000100000008000000002a0000000100000008000000002b0000000100000008000000002e0000000100000008000000002f00000001000000080000000031000000010000000800000000320000000100000008000000003400000001000000080000000037000000010000000800000000390000000100000008000000003a0000000100000008000000003c0000000100000008000000003d0000000100000008000000003e000000010000000800,549491829,0,3000000,0,274745883,50605647,t,2026-09-24 14:30:10.254917+00,3
750209bf-6ab7-4b92-9c19-a50465550868,9ac44ac0-c7f6-4b33-a402-c9e92e17392b,4000000,4,2,1000000,64,64,9,\x0003061e363330180a0d1b090c0f273f3c39212432351d2f3d3a2c3e3b2911141725371f1c0e0b081a020513162e2b2810223426233119010407151220382a2d,\x000204204000020420800220001120000102102000098020001001082080130001049000015008008245100508029004401080000408400408000401011020010220a0808000a000,1,\x0000000f0000001d00000001ffffffff000000002a00000001ffffffff000000002d00000001ffffffff000000002f00000001ffffffff000000003000000001ffffffff000000003100000001ffffffff000000003300000001ffffffff000000003500000001ffffffff000000003600000001ffffffff000000003700000001ffffffff000000003900000001ffffffff000000003b00000001ffffffff010000003c0000000100000008000000003d0000000100000008000000003e000000010000000800,748419205,0,4000000,0,374209571,68137022,t,2026-09-24 14:32:07.43589+00,4
b308b184-713e-49d9-804a-a471a15eb77c,9ac44ac0-c7f6-4b33-a402-c9e92e17392b,5000000,4,2,1000000,64,64,9,\x0003061e363330180a0d1b090c0f273f3c39212432351d2f3d3a2c291123313422141725371f2d2a1c0e263e3b382012150704162e2b1301190b081a28100205,\x00020420400002042080022000112000010210200009802000100108208093006400820021420540200008122cc80411200001021060010041104000021c1004004110800008a000,1,\x0000000f0000002400000001ffffffff000000002a00000001ffffffff000000002b00000001ffffffff000000002c00000001ffffffff000000002d00000001ffffffff000000003000000001ffffffff000000003100000001ffffffff000000003400000001ffffffff000000003700000002000000070100000038000000010000000800000000390000000100000008000000003a0000000100000008000000003c0000000100000008000000003d0000000100000008000000003e000000010000000800,905841117,0,5000000,0,452920527,81998719,t,2026-09-24 14:33:13.329865+00,5
93455858-ae42-4ad5-a952-fcd86daca399,9ac44ac0-c7f6-4b33-a402-c9e92e17392b,6000000,4,2,1000000,64,64,9,\x0003061e363330180a0d1b090c0f273f3c39212432351d2f3d2b2e161325371f2d2a38201215070401191c3422100205171411293b3e2c3a281a080b0e262331,\x00020420400002042080022000112000010210200009802000100108600400024194002048202008022c00200810080420048304a100022040202020000804200081081080000404,1,\x0000000c0000002600000001ffffffff000000002800000001ffffffff000000002c00000001ffffffff010000002f000000010000000800000000300000000100000008000000003700000001000000080000000038000000010000000800000000390000000100000008000000003a0000000100000008000000003c0000000100000008000000003d0000000100000008000000003e000000010000000800,1096567517,0,6000000,0,548283727,99473966,t,2026-09-24 14:34:33.956317+00,6
0aea3ebf-d299-421f-879f-771408841816,9ac44ac0-c7f6-4b33-a402-c9e92e17392b,7000000,4,2,1000000,64,64,9,\x0003061e363330180a0d1b090c0f273f3c39212432351d2f3d2b2e160412152d2a1c190113100205171411292c3e3b3820233134260e0b081a283a2225371f07,\x00020420400002042080022000112000010210200009802000100108600400022343004210104502224012a100023040201040000408408220080008080408021008001240001020,1,\x000000100000001f00000001ffffffff0100000023000000010000000800000000270000000100000008000000002f000000010000000800000000320000000100000008000000003400000001000000080000000035000000010000000800000000360000000100000008000000003700000001000000080000000038000000010000000800000000390000000100000008000000003a0000000100000008000000003b0000000100000008000000003c0000000100000008000000003d0000000100000008000000003e000000010000000800,1238726985,0,7000000,0,619363461,112085956,t,2026-09-24 14:35:33.29397+00,7
89ac26e7-0a5e-4493-bc22-680671638fa0,9ac44ac0-c7f6-4b33-a402-c9e92e17392b,8000000,4,2,1000000,64,64,9,\x0003061e363330180a0d1b090c0f273f3c39212432351d2f3d2b2810223a2c291114021a080b0e1c2e16130517253734311901041220382a2d1f071523263e3b,\x000204204000020420800220001120000102102000098020001001086044103288002009400284200022400006028040002400810008108000099080010140010001418020000108,1,\x0000000e0000001d00000001ffffffff000000002300000001ffffffff000000002800000001ffffffff000000002b00000001ffffffff000000002c00000001ffffffff000000002d00000001ffffffff000000003100000001ffffffff000000003200000001ffffffff000000003700000001ffffffff000000003900000001ffffffff000000003a00000001ffffffff000000003b00000001ffffffff000000003d0000000200000002010000003e000000010000000800,1463043519,0,8000000,0,731521728,132396707,t,2026-09-24 14:37:07.67664+00,8
a9be99e3-8a71-4e7c-8f5e-125488ce66ae,9ac44ac0-c7f6-4b33-a402-c9e92e17392b,9000000,4,2,1000000,64,64,9,\x0003061e363330180a0d1b090c0f273f3c39212432351d2f3d2b13251705021411293b3e26233119010407151220382a2d1f37342210283a2c1a080b0e1c2e16,\x0002042040000204208002200011200001021020000980200010010860c419250804040710080c0800060b822040020c404001010140010011800002040101804080081000810020,0,\x0000000f0000001d00000001ffffffff000000002800000001ffffffff000000002a00000001ffffffff000000002e00000001ffffffff000000003000000001ffffffff000000003200000001ffffffff000000003500000001ffffffff000000003700000001ffffffff000000003800000001ffffffff000000003900000001ffffffff000000003a00000001ffffffff000000003b00000001ffffffff000000003c00000001ffffffff000000003d00000001ffffffff000000003e00000001ffffffff00,1698372561,0,9000000,0,849186249,153595515,t,2026-09-24 14:38:45.959613+00,9
