id,public_id,row_size,col_size,algorithm,total_solved,round_counter,total_back_steps,dummy_back_steps,elapsed_ms,status,started_at,finished_at,grid_map_id,save_mode
1,c7148bcb-0012-4232-8a9c-5f7e9741a56d,5,5,SecondSolution_CalculateForwardAvailableWays,12400,1023656,511816,83076,,COMPLETED,2026-09-16 13:53:03.959913+00,2026-09-16 13:53:05.002077+00,,flat
2,f84f5cdf-64fb-4612-b03c-9241f992fc8d,6,6,SecondSolution_CalculateForwardAvailableWays,8250272,1470818233,735409099,138336510,,COMPLETED,2026-09-16 13:54:10.628245+00,2026-09-16 14:06:08.491587+00,,flat
